교차로코드,입력일자,교차로명칭,유형코드,연동교차로코드,구코드 (공통),지번,구경찰서 (공통);,신경찰서 (공통);,작업구분 (공통);,표출구분 (공통);,고객번호,계약종별,계량기번호,도로구분 (공통);,관할사업소 (공통);,교차로관리번호,공간데이터,신규정규화ID,이력ID,동코드 (공통),공사형태 (공통);,지도표출구분
1050, ,신반포5차아파트,1,0,650,121천,340,340,1,2, , , ,1,105,82-0000004574,,4128182,4574,10600, ,N
1051, ,신동초교,2,0,650,78도,340,340,1,2, , , ,1,105,82-0000001243,, ,1243,10600, ,N
1052, ,이수교KCC 스위첸2차아파트,1,0,650,산29-2도,380,380,1,2, , , ,1,105,82-0000002882,,3174683,2882,10100, ,N
1053, ,사당삼성생명,1,0,650,493-5천,380,380,1,2, , , ,1,105,82-0000000559,,3171405,559,10100, ,N
1054, ,영동가스,1,0,650,121-8도,340,340,1,2, , , ,1,105,82-0000001388,,4129862,1388,10600, ,N
1055, ,방배경찰서,2,0,650,495-2도,380,380,1,2, , , ,1,105,82-0000000625,, ,625,10100, ,N
1056, ,방배경찰서(연등),1,1055,650,733-1 도,380,380,1,2, , , ,1,105,82-0000001191,, ,1191,10100, ,N
1057, ,이수역(연등),1,487,650,864-41도,380,380,1,2, , , ,1,105,82-0000001646,, ,1646,10100, ,N
1058, ,경신교회,1,0,650, ,380,380,1,2, , , ,2,105,82-0000003080,,3182072,3080,10100, ,N
1059, ,사당극동아파트입구,2,0,590,169-28도, ,220,1,2, , , ,2,105,82-0000004191,, ,4191,10700, ,N
1060, ,사당5치안센터,1,0,590,197-4도, ,220,1,2, , , ,1,105,82-0000004192,, ,4192,10700, ,N
1061, ,한진종합상가,1,0,650,121-8도,340,340,1,2, , , ,1,105,82-0000001389,,4139192,1389,10600, ,N
1062, ,한남대교남단(연등)2,2,0,680,415 대,280,280,1,2, , , ,1,106,82-0000001751,,4230942,1751,10700, ,N
1063, ,잠원동주민센터,3,0,650,84 도,340,340,1,2, , , ,2,105,82-0000002883,, ,2883,10600, ,N
1064, ,내방역(연등),1,355,650,851-3대,380,380,1,2, , , ,1,105,82-0000001752,,3192162,1752,10100, ,N
1065, ,하이웨이빌딩,3,0,650,9-1 대,340,340,1,2, , , ,2,105,82-0000001390,,4138582,1390,10600, ,N
1066, ,신동초교정문,1,0,650,84 도,340,340,1,2, , , ,2,105,82-0000001761,, ,1761,10600, ,N
1067, ,매일상가,2,0,650,104도,340,340,1,2, , , ,2,105,82-0000002117,, ,2117,10600, ,N
1068, ,경원중학교,1,0,650,100도,340,340,1,2, , , ,2,105,82-0000004351,, ,4351,10600, ,N
1069, ,낙타고개,3,0,650,99 도,340,340,1,2, , , ,1,105,82-0000004352,, ,4352,10600, ,N
